DATE,MRTSSM44112USN,RSCCASN,RSFSDPN,MRTSSM4453USN,RSFHFSN,MRTSSM7225USN,RSGASSN
4/1/2001,4991,13362,25863,2231,6940,22217,21661
5/1/2001,5390,13787,27355,2470,7551,23460,23850
6/1/2001,5169,12935,27566,2526,7491,23725,23244
7/1/2001,4906,12600,27594,2483,7456,24019,22072
8/1/2001,5142,14818,28303,2518,7971,24531,22653
9/1/2001,4291,12104,25714,2316,7078,21899,21379
10/1/2001,4903,13218,26408,2409,7603,22504,20434
11/1/2001,4444,15352,25533,2638,8548,21946,18437
12/1/2001,4103,24534,27536,3542,9427,23934,17832
1/1/2002,4802,10344,25052,2114,7149,21704,17504
2/1/2002,5226,11730,25002,2109,7091,21637,16704
3/1/2002,5212,13977,28128,2366,7777,24344,19833
4/1/2002,5260,13195,27390,2300,7370,23605,21106
5/1/2002,5342,14150,28720,2569,7991,24811,22228
6/1/2002,5199,13210,28469,2486,7502,24606,21666
7/1/2002,5229,12873,28638,2568,7671,24997,22981
8/1/2002,5542,15113,29540,2595,8205,25724,23131
9/1/2002,4855,12445,26839,2297,7456,22920,21378
10/1/2002,5143,14006,27595,2401,7859,23567,22265
11/1/2002,4736,15911,26967,2601,8839,23141,20887
12/1/2002,4377,25350,28185,3488,9528,24436,20936
1/1/2003,5209,10804,26057,2121,7190,22599,21204
2/1/2003,5477,11662,25573,2046,6713,22103,20852
3/1/2003,5877,13452,29161,2273,7618,25193,23872
4/1/2003,5572,13691,28261,2333,7374,24445,22829
5/1/2003,5586,14730,30907,2576,8078,26711,23293
6/1/2003,5324,13496,29756,2433,7753,25877,22801
7/1/2003,5466,13854,30600,2611,8074,26690,23994
8/1/2003,5494,15522,31844,2660,8384,27552,24965
9/1/2003,5072,13567,28559,2461,8017,24320,23400
10/1/2003,5014,14601,30255,2641,8351,25781,23645
11/1/2003,4528,16555,28869,2660,9018,24780,21946
12/1/2003,4436,26760,29884,3654,10166,26062,22386
1/1/2004,5053,11790,28642,2293,7651,24839,22773
2/1/2004,5538,13344,28755,2219,7613,24952,22554
3/1/2004,6055,14760,31133,2398,8499,27054,25602
4/1/2004,5564,15058,30866,2553,7991,26738,26207
5/1/2004,5882,15379,32155,2685,8112,27839,28578
6/1/2004,5548,14237,31380,2643,8443,27258,28403
7/1/2004,5773,14667,33125,2867,8895,28982,29286
8/1/2004,5948,15588,32184,2622,8883,28076,28729
9/1/2004,5546,14224,30550,2618,8441,26179,27351
10/1/2004,5785,15570,32258,2727,8718,27517,29544
11/1/2004,5481,17230,29981,2763,9594,25829,27676
12/1/2004,5348,28406,32528,3801,10917,28321,27303
1/1/2005,5803,12046,29792,2219,7908,25914,25566
2/1/2005,6480,13878,29742,2316,7973,25934,24982
3/1/2005,6602,15727,32757,2530,8787,28566,29380
4/1/2005,6036,15708,33578,2640,8418,28911,30549
5/1/2005,5955,15989,34056,2709,8649,29547,31151
6/1/2005,6018,15559,33570,2783,8966,29239,31862
7/1/2005,6080,15218,34940,2924,8957,30593,33888
8/1/2005,6419,16697,34292,2791,9607,29898,36204
9/1/2005,5684,14960,32850,2784,9216,27866,36260
10/1/2005,5597,16509,33921,2801,9110,28912,36557
11/1/2005,5325,18402,32083,2933,10232,27582,31260
12/1/2005,5125,30276,34882,4137,11297,30191,31264
1/1/2006,5811,12893,32394,2424,8595,28260,30800
2/1/2006,6245,14474,31634,2519,8457,27378,29253
3/1/2006,7009,16386,35840,2753,9412,30970,33887
4/1/2006,6470,16848,35141,2791,8556,30142,36002
5/1/2006,6638,17103,36167,3017,9209,31104,39016
6/1/2006,6522,16505,35771,3055,9447,30986,39126
7/1/2006,6371,16275,36298,3117,9244,31548,40585
8/1/2006,6653,17832,36640,3024,9940,31728,41051
9/1/2006,6204,16767,35439,2997,9511,30094,34830
10/1/2006,6146,17253,35820,2913,9178,30416,33208
11/1/2006,5634,19391,33839,3137,10195,29023,31556
12/1/2006,5473,31462,37803,4269,11051,32631,32662
1/1/2007,6089,13927,33593,2569,8802,29110,30922
2/1/2007,6625,15077,33097,2603,8423,28557,29762
3/1/2007,7276,18045,38225,3005,9415,32966,35603
4/1/2007,6734,17096,36554,2867,8553,31229,36677
5/1/2007,7186,18474,38311,3262,9266,32930,41378
6/1/2007,6850,17289,38450,3364,9171,33151,40481
7/1/2007,6781,16883,38539,3322,9194,33196,40696
8/1/2007,7310,18850,38825,3292,9867,33725,40387
9/1/2007,6591,16765,36791,3057,8885,30911,37675
10/1/2007,6583,17614,37608,3087,9069,31744,39425
11/1/2007,5957,20550,35954,3297,10012,30691,39802
12/1/2007,5714,30635,38604,4403,10487,33296,39014
1/1/2008,6544,14173,35063,2675,8163,30334,38690
2/1/2008,7182,15876,35722,2806,8104,30854,37616
3/1/2008,7291,17770,38491,2989,8381,33274,42226
4/1/2008,6940,17103,37918,2997,8029,32299,43663
5/1/2008,6683,19084,40679,3420,8604,34833,48512
6/1/2008,6653,17007,38716,3279,8117,33284,50085
7/1/2008,6286,17369,39568,3517,8495,34081,51728
8/1/2008,6226,19041,40419,3472,8456,34746,49068
9/1/2008,5662,15882,37234,3151,7676,31019,45182
10/1/2008,5432,16796,38425,3351,7712,32543,40625
11/1/2008,4452,18756,36307,3386,8121,31117,29869
12/1/2008,4561,26726,37723,4461,8862,32664,26375
1/1/2009,5544,13387,36190,2913,6796,31486,26541
2/1/2009,6088,14684,34947,2781,6593,30307,25620
