DATE,MRTSSM442USN,MRTSSM443USN,MRTSSM444USN,MRTSSM445USN,MRTSSM446USN,MRTSSM448USN,MRTSSM451USN,MRTSSM452USN,MRTSSM453USN,MRTSSM454USN,MRTSSM722USN,MRTSSM441USN
2020-07-01,10625,6555,39430,75085,29573,17779,8011,61674,11992,79072,54511,116233
2020-08-01,11017,6839,36664,72353,28918,18968,8218,62304,11842,77168,56358,115928
2020-09-01,11071,6459,36930,69741,29462,18790,7794,58567,11604,75540,54740,113058
2020-10-01,11114,6865,37582,71957,30630,20088,7657,63203,12400,81386,57392,114679
2020-11-01,11187,8296,34662,71879,28575,21287,8368,66964,11988,91542,50911,103220
2020-12-01,12129,9484,34524,77260,33670,32237,11319,77086,13939,105157,51497,116492
2021-01-01,10707,7066,31229,71726,29509,15740,7421,59643,11175,78677,52757,104255
2021-02-01,10003,6203,29605,65819,27494,16568,6424,54183,10515,74114,50627,102796
2021-03-01,12551,7980,43520,72656,33172,24171,9554,69886,13605,87571,65145,146907
2021-04-01,12124,7306,47108,71619,31792,23599,9008,65512,13642,85066,67346,144131
2021-05-01,12133,7366,46976,76284,31767,26217,8916,69188,14391,83496,72468,142751
